Experiment,Language,Variant,k_value,num_examples,BLEU,chrF,CHRF++,TER,COMET
konkani_full_k8,konkani,full,8,202,1.5851,10.1716,8.7001,108.201,0.3975
konkani_full_k9,konkani,full,9,203,1.0706,6.4144,5.5364,111.827,0.3514
konkani_full_k10,konkani,full,10,204,0.2145,4.2012,3.6051,113.145,0.3064
konkani_hermes_k0,konkani,hermes,0,205,1.0426,1.1762,2.6156,123.111,0.4072
konkani_hermes_k1,konkani,hermes,1,205,7.8184,30.2411,25.9644,117.385,0.5233
konkani_hermes_k2,konkani,hermes,2,205,7.4374,29.8193,25.6026,113.978,0.5158
konkani_hermes_k3,konkani,hermes,3,205,8.4232,30.1028,25.938,103.523,0.5211
konkani_hermes_k4,konkani,hermes,4,205,8.3438,30.013,25.7884,106.49,0.5223
konkani_hermes_k5,konkani,hermes,5,205,7.9633,27.8343,24.0337,109.365,0.503
konkani_hermes_k6,konkani,hermes,6,203,6.9935,28.2065,24.1092,111.299,0.5015
konkani_hermes_k7,konkani,hermes,7,201,7.4768,26.6779,22.9767,104.184,0.4842
konkani_hermes_k8,konkani,hermes,8,201,8.1379,27.5781,23.7864,109.405,0.4851
konkani_hermes_k9,konkani,hermes,9,204,8.0612,28.0818,24.342,116.854,0.4863
konkani_hermes_k10,konkani,hermes,10,197,8.2267,26.2247,22.6596,115.137,0.4698
konkani_hermes_no_pivot_k3,konkani,hermes_no_pivot,3,5,0.3367,14.611,12.6674,1038.93,0.323
konkani_hermes_no_pivot_k4,konkani,hermes_no_pivot,4,5,0.284,13.4035,11.6181,1293.89,0.3191
konkani_no_pivot_k3,konkani,no_pivot,3,205,0.2753,10.6895,9.1401,1274.85,0.3296
konkani_no_pivot_k4,konkani,no_pivot,4,205,0.2185,9.3882,7.9994,1606.33,0.3264
konkani_no_pivot_k5,konkani,no_pivot,5,205,0.1983,8.4391,7.1973,1928,0.3262
konkani_standard_k0,konkani,standard,0,205,5.956,23.4544,20.0748,115.021,0.5216
konkani_standard_k1,konkani,standard,1,205,6.0538,25.0082,21.2467,109.458,0.5322
konkani_standard_k3,konkani,standard,3,205,5.8072,25.8473,21.9767,108.044,0.5316
konkani_standard_k5,konkani,standard,5,205,4.8444,20.5357,17.438,110.107,0.4905
konkani_standard_k7,konkani,standard,7,203,0.2279,4.2741,3.6657,114.393,0.3084
konkani_standard_k10,konkani,standard,10,141,0.3033,4.894,4.2016,112.755,0.3193
