k,BLEU,chrF,chrF++,Normalized_BLEU,time_minutes
0,1.493369524819332,0.6038647342995169,2.5305211370262395,0.014933695248193319,6.183097855250041
1,7.10555391350209,32.57679117184463,25.754461411720857,0.0710555391350209,6.121262939771016
2,8.055259301867162,33.928199177318334,27.662486073132854,0.08055259301867163,6.143089771270752
3,7.60493327903722,34.98424529444272,27.99908634545995,0.0760493327903722,5.722124660015107
4,7.772174600740504,37.33744829131072,30.2076674549243,0.07772174600740504,5.749940697352091
5,8.055259301867162,33.17927511704846,27.101059785587655,0.08055259301867163,5.717742812633515
6,7.60493327903722,34.050039444599975,27.299486117574823,0.0760493327903722,5.391787195205689
7,8.218074077265651,36.21054978846786,29.81818728625124,0.08218074077265651,4.692816229661306
8,2.5828020030551087,36.18799055570651,29.42043490769879,0.025828020030551086,5.486328661441803
9,7.346761234551784,33.31423432763292,26.29703679517954,0.07346761234551784,6.043273492654165
10,7.508325052934221,35.35984934308365,28.269066458223712,0.07508325052934221,5.978612466653188
