k,BLEU,chrF,chrF++,Normalized_BLEU,time_minutes
0,5.376437540689003,25.182419213922095,19.73420834128799,0.05376437540689003,6.3097316980361935
1,4.521920382276018,34.703166697091696,28.17638611827007,0.04521920382276018,6.206173721949259
2,7.408590762781679,34.57901557738534,28.059462344107324,0.07408590762781679,6.250835891564687
3,7.408590762781679,34.57901557738534,28.059462344107324,0.07408590762781679,6.494998160998026
4,7.408590762781679,34.57901557738534,28.059462344107324,0.07408590762781679,6.790383434295654
5,7.408590762781679,34.57901557738534,28.059462344107324,0.07408590762781679,7.281030762195587
6,0.0,0.0,0.0,0.0,7.829143019517263
7,1.6504045595709425,6.543020640481584,4.907265480361189,0.016504045595709425,8.687588806947073
8,0.0,3.1729276575217376,2.379695743141303,0.0,9.574066384633381
9,0.0,0.0,0.0,0.0,11.866798094908397
10,0.0,0.0,0.0,0.0,13.790511560440063
