k,BLEU,chrF,chrF++,Normalized_BLEU,time_minutes
0,4.016138436407654,26.061930364538483,21.973133018816718,0.04016138436407654,3.396379466851552
1,4.368583925857938,26.78048834315996,22.605206865938953,0.04368583925857938,1.6958582878112793
2,4.368583925857938,26.78048834315996,22.605206865938953,0.04368583925857938,1.9354387521743774
3,4.368583925857938,26.78048834315996,22.605206865938953,0.04368583925857938,2.3006795048713684
4,4.456882760699063,27.28200105385706,23.18115104272742,0.04456882760699063,2.2313074509302777
5,4.02724819242185,26.536597810303448,22.511234333986167,0.0402724819242185,2.155204407374064
6,4.016138436407654,26.061930364538483,21.973133018816718,0.04016138436407654,1.9885446468989054
7,4.016138436407654,26.061930364538483,21.973133018816718,0.04016138436407654,2.0610381722450257
8,4.368583925857938,26.78048834315996,22.605206865938953,0.04368583925857938,2.029729497432709
9,4.016138436407654,26.061930364538483,21.973133018816718,0.04016138436407654,2.583719066778819
10,4.368583925857938,26.78048834315996,22.605206865938953,0.04368583925857938,2.4704843958218894
